id,bag,bagLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,position,positionLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01HVDK8PY79EMBCW0VQW632TES,"[1,2,1]",2024-04-13T23:04:10.657595-07:00,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:03:45.479043-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:03:45.479043-07:00,01HVDK8NB54Y8K273TJC7VC4BX,2024-04-13T23:03:45.479043-07:00,"[0,5]",2024-04-13T23:04:07.938941-07:00,01HVDK8PWAB90YQX5YNTW15ZZX,2024-04-13T23:03:45.479043-07:00,13,2024-04-13T23:04:10.657595-07:00
01HVDK9TJPM3G1KZV3XVHP4TWV,"[1,2,1,1]",2024-04-13T23:04:46.648887-07:00,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:04:21.974429-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:04:21.974429-07:00,01HVDK8NB54Y8K273TJC7VC4BX,2024-04-13T23:04:21.974429-07:00,"[3,1]",2024-04-13T23:04:43.907621-07:00,01HVDK8PWAB90YQX5YMWA0A618,2024-04-13T23:04:21.974429-07:00,12,2024-04-13T23:04:46.648887-07:00
01HVDKAYPRX93M41HBA6DH3D66,"[2,3,2,1]",2024-04-13T23:05:34.333664-07:00,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:04:58.96835-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:04:58.96835-07:00,01HVDK8NB54Y8K273TJC7VC4BX,2024-04-13T23:04:58.96835-07:00,"[3,5]",2024-04-13T23:05:31.569765-07:00,01HVDK8PWBNAFCHG54YAMFYWSP,2024-04-13T23:04:58.96835-07:00,18,2024-04-13T23:05:34.333664-07:00
01HVDKCEJ2AVER830J92PTKY0Y,"[3,1,2,2]",2024-04-13T23:06:40.252139-07:00,01HVDK8H274NGF68S69V3XJQN3,2024-04-13T23:05:47.970487-07:00,01HVDK8H2XQAJ2CRG859KB0TBN,2024-04-13T23:05:47.970487-07:00,01HVDK8NB54Y8K273TJC7VC4BX,2024-04-13T23:05:47.970487-07:00,"[4,3]",2024-04-13T23:06:38.033057-07:00,01HVDK8PWHHPVVPRH0JP35DCEB,2024-04-13T23:05:47.970487-07:00,22,2024-04-13T23:06:40.252139-07:00
